f/MHz,AbsorbSpectrum
7.400000000000000355e+00,-5.599999999999999645e+00
7.400200000000000777e+00,-6.240000000000000213e+00
7.400400000000000311e+00,-5.759999999999999787e+00
7.400600000000000733e+00,-6.240000000000000213e+00
7.400800000000000267e+00,-6.160000000000000142e+00
7.401000000000000689e+00,-5.679999999999999716e+00
7.401200000000000223e+00,-5.759999999999999787e+00
7.401400000000000645e+00,-6.240000000000000213e+00
7.401600000000000179e+00,-5.679999999999999716e+00
7.401800000000000601e+00,-6.240000000000000213e+00
7.402000000000000135e+00,-5.759999999999999787e+00
7.402200000000000557e+00,-6.240000000000000213e+00
7.402400000000000091e+00,-5.759999999999999787e+00
7.402600000000000513e+00,-6.240000000000000213e+00
7.402800000000000047e+00,-6.240000000000000213e+00
7.403000000000000469e+00,-5.759999999999999787e+00
7.403200000000000003e+00,-5.759999999999999787e+00
7.403400000000000425e+00,-6.240000000000000213e+00
7.403599999999999959e+00,-5.759999999999999787e+00
7.403800000000000381e+00,-6.240000000000000213e+00
7.403999999999999915e+00,-5.759999999999999787e+00
7.404200000000000337e+00,-6.240000000000000213e+00
7.404400000000000759e+00,-6.080000000000000071e+00
7.404600000000000293e+00,-5.679999999999999716e+00
7.404800000000000715e+00,-5.679999999999999716e+00
7.405000000000000249e+00,-6.080000000000000071e+00
7.405200000000000671e+00,-6.080000000000000071e+00
7.405400000000000205e+00,-5.519999999999999574e+00
7.405600000000000627e+00,-6.000000000000000000e+00
7.405800000000000161e+00,-5.519999999999999574e+00
7.406000000000000583e+00,-6.000000000000000000e+00
7.406200000000000117e+00,-5.440000000000000391e+00
7.406400000000000539e+00,-5.919999999999999929e+00
7.406600000000000072e+00,-5.440000000000000391e+00
7.406800000000000495e+00,-6.000000000000000000e+00
7.407000000000000028e+00,-5.440000000000000391e+00
7.407200000000000450e+00,-5.440000000000000391e+00
7.407399999999999984e+00,-5.919999999999999929e+00
7.407600000000000406e+00,-5.919999999999999929e+00
7.407799999999999940e+00,-5.440000000000000391e+00
7.408000000000000362e+00,-5.440000000000000391e+00
7.408199999999999896e+00,-6.000000000000000000e+00
7.408400000000000318e+00,-5.519999999999999574e+00
7.408600000000000740e+00,-6.000000000000000000e+00
7.408800000000000274e+00,-5.519999999999999574e+00
7.409000000000000696e+00,-6.000000000000000000e+00
7.409200000000000230e+00,-5.519999999999999574e+00
7.409400000000000652e+00,-6.000000000000000000e+00
7.409600000000000186e+00,-5.519999999999999574e+00
7.409800000000000608e+00,-6.000000000000000000e+00
7.410000000000000142e+00,-6.000000000000000000e+00
7.410200000000000564e+00,-5.519999999999999574e+00
7.410400000000000098e+00,-5.519999999999999574e+00
7.410600000000000520e+00,-6.000000000000000000e+00
7.410800000000000054e+00,-5.519999999999999574e+00
7.411000000000000476e+00,-6.000000000000000000e+00
7.411200000000000010e+00,-6.000000000000000000e+00
7.411400000000000432e+00,-5.440000000000000391e+00
7.411599999999999966e+00,-5.919999999999999929e+00
7.411800000000000388e+00,-5.440000000000000391e+00
7.411999999999999922e+00,-5.440000000000000391e+00
7.412200000000000344e+00,-5.919999999999999929e+00
7.412399999999999878e+00,-5.440000000000000391e+00
7.412600000000000300e+00,-5.919999999999999929e+00
7.412800000000000722e+00,-5.440000000000000391e+00
7.413000000000000256e+00,-5.919999999999999929e+00
7.413200000000000678e+00,-5.839999999999999858e+00
